112,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,184:17,"IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",true
113,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,184:17,"IRoycoDayAccountant(_immutables.accountant)
            .preOpSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",false
114,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,187:9,"FeeAndLiquidityPremiumLogic._processFeesAndLiquidityPremium($, _immutables, state)",assert(true)
115,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,189:9,"_commitPostSyncLiquidityTrancheRawNAV($, _immutables, state)",assert(true)
116,IfStatementMutation,src/libraries/logic/AccountingSyncLogic.sol,192:13,_trancheType == TrancheType.SENIOR,true
117,IfStatementMutation,src/libraries/logic/AccountingSyncLogic.sol,192:13,_trancheType == TrancheType.SENIOR,false
118,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,192:25, == ,+
119,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,192:25, == ,-
120,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,192:25, == ,*
121,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,192:25, == ,/
122,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,192:25, == ,%
123,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,192:25, == ,**
124,IfStatementMutation,src/libraries/logic/AccountingSyncLogic.sol,193:18,_trancheType == TrancheType.JUNIOR,true
125,IfStatementMutation,src/libraries/logic/AccountingSyncLogic.sol,193:18,_trancheType == TrancheType.JUNIOR,false
126,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,193:30, == ,+
127,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,193:30, == ,-
128,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,193:30, == ,*
